vacancy_title,vacancy_area,vacancy_url,_salary_from,_salary_to,currency,experience,requirements
Технический Директор (Chief Technical Officer),Москва,https://hh.ru/vacancy/87322729,500000,1000000,руб.,От 3 до 6 лет,"Экспертные знания в техническом стеке: (Backend:Python, Golang, MySQL/Postgres, Redis, MongoDB, FastAPI, GRPC, RabbitMQ/Kafka, Docker, K8s..."
Руководитель отдела финансового моделирования и анализа,Москва,https://hh.ru/vacancy/87288752,450000,450000,руб.,От 3 до 6 лет,Опыт в разработке стат. и мат. моделей. Опыт взаимодействия с бизнесом и построение моделей решающих бизнес задачи (разработка и совершенствование...
Аналитик информационной безопасности,Москва,https://hh.ru/vacancy/87261820,270000,270000,руб.,Более 6 лет,"Опыт сканирования инфраструктуры с использованием Nessus, MaxPatrol. Nmap. Опыт разработки под ОС Unix, MacOS. Опыт разработки кроссплатформенных приложений или понимание..."
Финансовый аналитик,Москва,https://hh.ru/vacancy/87203932,250000,250000,руб.,От 3 до 6 лет,"Экспертный уровень владения Excel (с легкостью сможешь написать макросы), 1С БИТ Финанс. Уверенный уровень Python, SQL ((сложные запросы, cte..."
Компьютерный лингвист,Москва,https://hh.ru/vacancy/87361686,150000,200000,руб.,От 3 до 6 лет,понимание принципов компьютерной обработки текста. - базовые навыки программирования на Python и работы c NLP. Будет плюсом: - умение работать с Git. -
Backend разработчик (Python),Казань,https://hh.ru/vacancy/87373094,80000,250000,руб.,От 1 года до 3 лет,"Python. Django. Json-RPC 2.0. PostgreSQL. Redis, Kafka. Kubernetes. Уверенные знания Python (опыт работы от 2х лет)."
Разработчик Python,Екатеринбург,https://hh.ru/vacancy/86560178,100000,180000,руб.,От 1 года до 3 лет,"Python 3. Odoo. PostgreeSQL. Xml. Html. Javascript. Git. Docker. Высшее техническое/математическое/физическое образование. Хороший уровень Python, опыт коммерческой разработки..."
QA engineer (manual),Москва,https://hh.ru/vacancy/87204199,90000,120000,руб.,От 1 года до 3 лет,Ведение тестовой документации и написание тест-кейсов. Более 2 лет опыта ручного тестирования. Понимание жизненного цикла программного обеспечения.
Тестировщик/Manual QA инженер,Москва,https://hh.ru/vacancy/85960160,100000,100000,руб.,От 1 года до 3 лет,Знание языков программирования скриптовых языков и опыт разработки скриптов автоматизации. Знание жизненных циклов создания и тестирования ПО. Опыт проектирования тестов...
Программист Python,Москва,https://hh.ru/vacancy/87320864,100000,100000,руб.,Нет опыта,"Необходимые навыки: SQL. Matplotlib. Pandas (опционально). NumPy (опционально). Кого хотим видеть: Специалистов последних курсов университетов, желающих связать свою карьеру с..."
Программист Python,Тольятти,https://hh.ru/vacancy/87320866,100000,100000,руб.,Нет опыта,"Необходимые навыки: SQL. Matplotlib. Pandas (опционально). NumPy (опционально). Кого хотим видеть: Специалистов последних курсов университетов, желающих связать свою карьеру с..."
Тестировщик ПО (QA),Москва,https://hh.ru/vacancy/87333951,100000,100000,руб.,От 1 года до 3 лет,"Знание SQL, Postman, Python. Опыт тестирования backend приложений. Знание методов и методик тестирования. Ответственность за свои решения, самостоятельность, инициативность, вариативность..."
Frontend-разработчик,Калининград,https://hh.ru/vacancy/87150685,80000,120000,руб.,От 1 года до 3 лет,"Опыт в дизайне веб-страниц. Будет плюсом: Опыт работы с python, Django. Кругозор в современных решениях для верстки и дизайна..."
Бэкенд разработчик Python,Москва,https://hh.ru/vacancy/87371472,60000,120000,руб.,От 1 года до 3 лет,1) 1+ год опыта работы в качестве бэкенд-разработчика (Python). 2) Опыт интеграции сторонних сервисов по средствам API.
Junior Python-разработчик,Ижевск,https://hh.ru/vacancy/86985776,70000,90000,руб.,От 1 года до 3 лет,"Нам важно, чтобы у тебя был опыт: Опыт работы с Python от 2-х лет. Опыт работы с фреймворками: FastApi..."
Разработчик Python (junior),Москва,https://hh.ru/vacancy/86324076,80000,80000,руб.,Нет опыта,Знание что такое swagger. Знание как управлять зависимостями в приложениях на python (pip/poetry/pipenv). Понимание про typehints/mypy.
Frontend-разработчик,Москва,https://hh.ru/vacancy/85934327,75000,75000,руб.,Нет опыта,"Основы программирования по языкам (JavaScript, Python)."
Backend-разработчик,Москва,https://hh.ru/vacancy/85934488,75000,75000,руб.,Нет опыта,"Основы программирования по языкам (JavaScript, Python)."
Python-разработчик (junior),Москва,https://hh.ru/vacancy/87277446,70000,70000,руб.,От 1 года до 3 лет,"Знает язык Python уверенно: основы, синтаксис, функции, декораторы(замыкания), ООП, асинхронную модель, процессы, потоки. Слышал про GIL. Понимает почему python..."
Junior разработчик Python/Django,Москва,https://hh.ru/vacancy/86396944,60000,80000,руб.,От 1 года до 3 лет,Умение писать на Python (>3). Знание django/drf. Умение работать с git или другой системой контроля версий. Умение написать Dockerfile...
Стажер-программист Python,Москва,https://hh.ru/vacancy/86458967,60000,60000,руб.,От 1 года до 3 лет,"Способность быстро разобраться в неизвестном предмете (протоколе, языке программирования, и т.д.). Опыт программирования на Python (не обязательно промышленный)."
Junior Python Developer,Екатеринбург,https://hh.ru/vacancy/87006974,60000,60000,руб.,От 1 года до 3 лет,Понимание наших технологий и стека. Опыт работы в коммерческих проектах не менее полугода. Желание развиваться на go.
Стажер в IT компанию,Ульяновск,https://hh.ru/vacancy/86942050,40000,80000,руб.,Нет опыта,Главный критерий – твое желание развиваться в сфере IT. - получишь актуальные для рынка знания от действующих программистов с опытом в разработке...
Junior python developer/data engineer,Нижний Новгород,https://hh.ru/vacancy/86316688,40000,80000,руб.,Нет опыта,"Нацеленность на результат, внимательность, готовность к активному росту. Желательно знать sqlalchemy, базовый уровень веб-разработки, чтобы было проще понимать как..."
Python программист / аналитик,Москва,https://hh.ru/vacancy/87336369,45000,45000,руб.,Нет опыта,Приветствую! - Знания python.
Junior Python Developer,Тамбов,https://hh.ru/vacancy/87203339,35000,35000,руб.,От 1 года до 3 лет,Наличие опыта в разработке на языке Python. Наличие общих знаний в области программирования и опыта работы в команде разработчиков.
Junior backend-разработчик,Рязань,https://hh.ru/vacancy/86213456,30000,30000,руб.,Нет опыта,Опыт работы с Go. Пройденный GoTour. Работа с git. Примеры проектов. Опыт создания HTTP-сервисов.
"Data Scientist (стажер), удаленно",Москва,https://hh.ru/vacancy/86571284,15000,15000,руб.,Нет опыта,Сильное и стойкое желание развиваться как Data Scientist. Базовые знания Python. Базовые знания алгоритмов машинного обучения. Хорошо развитое логическое мышление...
Junior Python Developer,Санкт-Петербург,https://hh.ru/vacancy/86297660,1300,1300,USD,Нет опыта,"Базовые: Python. Знания в SQL (MS SQL / PL SQL). Английский (средний, профессиональная терминология). Будет плюсом: Azure. Английский (разговорный). Знание Git."
Стажер-программист Python,Москва,https://hh.ru/vacancy/86400360,0,0,,Нет опыта,Базовые знания Python (>3).
Стажер-тестировщик QA,Москва,https://hh.ru/vacancy/86626961,0,0,,Нет опыта,"Базовое понимание основных этапов и принципов тестирования, знакомство с теорией тестирования. Понимание жизненного цикла разработки и тестирования ПО."
Frontend developer React (remote),Москва,https://hh.ru/vacancy/87322932,0,0,,От 1 года до 3 лет,"уверенное знание JavaScript (в частности React). -готовность постоянно развиваться, следить за новыми технологиями и инструментами в разработке. -опыт работы с..."
Тестировщик,Москва,https://hh.ru/vacancy/87386689,0,0,,От 1 года до 3 лет,Опыт работы с Python Selenium для написания автотестов. Умение работать в команде и эффективно общаться с разработчиками и другими участниками...
Разработчик Python Junior,Воронеж,https://hh.ru/vacancy/86372853,0,0,,От 1 года до 3 лет,"Уверенное знание python3. Базовые навыки администрирования linux. Опыт работы с одним или нескольким python web framework: Django, flask, FastAPI..."
Python developer (Junior+),Новосибирск,https://hh.ru/vacancy/87330178,0,0,,От 1 года до 3 лет,Коммерческий опыт работы с python от 1 года. Опыт написания REST API. Опыт работы с библиотекой pandas. Знание flask/django...
Data Science Intern (LLM),Москва,https://hh.ru/vacancy/86732153,0,0,,Нет опыта,Начальные знания в области NLP (обработки естественного языка). Релевантное образование. Знание английского языка на уровне В1 и выше.
Стажер-разработчик Python,Москва,https://hh.ru/vacancy/84826929,0,0,,Нет опыта,"Аналитический склад ума, быстрая обучаемость. Знание Python, SQL на уровне выборок данных из нескольких таблиц \ insert \ update, хорошие знания Excel..."
Разработчик JavaScript,Чебоксары,https://hh.ru/vacancy/87221427,0,0,,От 1 года до 3 лет,"Какие компетенции понадобятся: - высшее образование, техническая/математическая специальность, it. - опыт работы в ИТ-компании от 1 года. - хорошее владение JavaScript..."
Стажер в IT,Москва,https://hh.ru/vacancy/87211900,0,0,,Нет опыта,Учишься в вузе или Школе в т.ч.
Менеджер Отдела анализа и планирования финансово-хозяйственной деятельности,Москва,https://hh.ru/vacancy/87415862,0,0,,От 1 года до 3 лет,"Базовые навыки программирования будут плюсом: MS SQL Server/MS Power BI/Python. Желание расти и развиваться, работать в рамках поставленных..."
